Greenhouse gas;Formula;Lifetime;Unit;RE (W m-2 ppb-1);AGWP20 (W m-2 yr kg-1);GWP20;AGWP 100(W m-2 yr kg-1);GWP100;Lifetime(years);mass to ppb factor (ppb/kg) (based on AGWP20);mass to ppb factor (ppb/kg) (based on AGWP100);Best estimate (mass to ppb)
HFC-1345zfc;C2F5CH=CH2;7.6;days;0.01;1.15E-14;0;1.15E-14;0;0.020821918;5.52303E-11;5.52303E-11;5.52303E-11
3,3,4,4,5,5,6,6,6-Nonafluorohex-1-ene;C4F9CH=CH2;7.6;days;0.03;1.25E-14;0;1.25E-14;0;0.020821918;2.0011E-11;2.0011E-11;2.0011E-11
3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooct-1-ene;C6F13CH=CH2;7.6;days;0.03;9.89E-15;0;9.89E-15;0;0.020821918;1.58327E-11;1.58327E-11;1.58327E-11
3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodec-1-ene;C8F17CH=CH2;7.6;days;0.03;8.52E-15;0;8.52E-15;0;0.020821918;1.36395E-11;1.36395E-11;1.36395E-11
Chlorocarbons and hydrochlorocarbons;;;;;;;;;;;;
Methyl chloroform;CH3CCl3;5;years;0.07;1.44E-11;578;1.47E-11;160;5;4.19105E-11;4.2E-11;4.19552E-11
Carbon tetrachloride;CCl4;26;years;0.17;8.69E-11;3480;1.59E-10;1730;26;3.66372E-11;3.67581E-11;3.66976E-11
Methyl chloride;CH3Cl;1;years;0.01;1.12E-12;45;1.12E-12;12;1;1.12E-10;1.12E-10;1.12E-10
Methylene chloride;CH2Cl2;0.4;years;0.03;8.18E-13;33;8.18E-13;9;0.4;6.81667E-11;6.81667E-11;6.81667E-11
Chloroform;CHCl3;0.4;years;0.08;1.5E-12;60;1.5E-12;16;0.4;4.6875E-11;4.6875E-11;4.6875E-11
1,2-Dichloroethane;CH2ClCH2Cl;65;days;0.01;8.24E-14;3;8.24E-14;1;0.178082192;4.62708E-11;4.62708E-11;4.62708E-11
Bromocarbons, hyrdobromocarbons and Halons;;;;;;;;;;;;
Methyl bromide;CH3Br;0.8;years;0.004;2.16E-13;9;2.16E-13;2;0.8;6.75E-11;6.75E-11;6.75E-11
Methylene bromide;CH2Br2;0.3;years;0.01;9.31E-14;4;9.31E-14;1;0.3;3.10333E-11;3.10333E-11;3.10333E-11
Halon-1201;CHBrF2;5.2;years;0.15;3.37E-11;1350;3.45E-11;376;5.2;4.41482E-11;4.42308E-11;4.41895E-11
Halon-1202;CBr2F2;2.9;years;0.27;2.12E-11;848;2.12E-11;231;2.9;2.71028E-11;2.70754E-11;2.70891E-11
Halon-1211;CBrClF2;16;years;0.29;1.15E-10;4590;1.6E-10;1750;16;3.47367E-11;3.45495E-11;3.46431E-11
Halon-1301;CBrF3;65;years;0.3;1.95E-10;7800;5.77E-10;6290;65;3.7756E-11;3.76801E-11;3.7718E-11
Halon-2301;CH2BrCF3;3.4;years;0.14;1.59E-11;635;1.59E-11;173;3.4;3.34968E-11;3.34034E-11;3.34501E-11
Halon-2311/Halothane;CHBrClCF3;1;years;0.13;3.77E-12;151;3.77E-12;41;1;2.9E-11;2.9E-11;2.9E-11
Halon-2401;CHFBrCF3;2.9;years;0.19;1.68E-11;674;1.68E-11;184;2.9;3.05209E-11;3.049E-11;3.05055E-11
Halon-2402;CBrF2CBrF2;20;years;0.31;8.59E-11;3440;1.35E-10;1470;20;2.1918E-11;2.19219E-11;2.192E-11
Fully Fluorinated Species;;;;;;;;;;;;
Nitrogen trifluoride;NF3;500;years;0.2;3.19E-10;12800;1.47E-09;16100;500;8.13556E-11;8.10948E-11;8.12252E-11
Sulphur hexafluoride;SF6;3200;years;0.57;4.37E-10;17500;2.16E-09;23500;3200;3.84532E-11;3.84899E-11;3.84716E-11
(Trifluoromethyl)sulfur pentafluoride;SF5CF3;800;years;0.59;3.36E-10;13500;1.6E-09;17400;800;2.8832E-11;2.88489E-11;2.88404E-11
Sulfuryl fluoride;SO2F2;36;years;0.2;1.71E-10;6840;3.76E-10;4090;36;5.57189E-11;5.56845E-11;5.57017E-11
PFC-14;CF4;50000;years;0.09;1.22E-10;4880;6.08E-10;6630;50000;6.77913E-11;6.76231E-11;6.77072E-11
PFC-116;C2F6;10000;years;0.25;2.05E-10;8210;1.02E-09;11100;10000;4.1041E-11;4.10043E-11;4.10227E-11
PFC-c216;c-C3F6;3000;years;0.23;1.71E-10;6850;8.44E-10;9200;3000;3.7298E-11;3.73106E-11;3.73043E-11
PFC-218;C3F8;2600;years;0.28;1.66E-10;6640;8.16E-10;8900;2600;2.9757E-11;2.97069E-11;2.9732E-11
PFC-318;c-C4F8;3200;years;0.32;1.77E-10;7110;8.75E-10;9540;3200;2.77428E-11;2.77732E-11;2.7758E-11
PFC-31-10;C4F10;2600;years;0.36;1.71E-10;6870;8.44E-10;9200;2600;2.38415E-11;2.38982E-11;2.38698E-11
Perfluorocyclopentene;c-C5F8;31;days;0.08;1.71E-13;7;1.71E-13;2;0.084931507;2.51673E-11;2.51673E-11;2.51673E-11
PFC-41-12;n-C5F12;4100;years;0.41;1.58E-10;6350;7.84E-10;8550;4100;1.93153E-11;1.93561E-11;1.93357E-11
PFC-51-14;n-C6F14;3100;years;0.44;1.47E-10;5890;7.26E-10;7910;3100;1.67585E-11;1.67676E-11;1.6763E-11
PFC-61-16;n-C7F16;3000;years;0.5;1.45E-10;5830;7.17E-10;7820;3000;1.45484E-11;1.45803E-11;1.45644E-11
PFC-71-18;C8F18;3000;years;0.55;1.42E-10;5680;6.99E-10;7620;3000;1.29522E-11;1.29221E-11;1.29371E-11
PFC-91-18;C10F18;2000;years;0.55;1.34E-10;5390;6.59E-10;7190;2000;1.22428E-11;1.22839E-11;1.22633E-11
Perfluorodecalin(cis);Z-C10F18;2000;years;0.56;1.35E-10;5430;6.64E-10;7240;2000;1.21139E-11;1.2156E-11;1.2135E-11
Perfluorodecalin(trans);E-C10F18;2000;years;0.48;1.18E-10;4720;5.77E-10;6290;2000;1.23532E-11;1.23239E-11;1.23385E-11
PFC-1114;CF2=CF2;1.1;days;0.002;2.68E-16;0;2.68E-16;0;0.003013699;4.44636E-11;4.44636E-11;4.44636E-11
PFC-1216;CF3CF=CF2;4.9;days;0.01;6.42E-15;0;6.42E-15;0;0.013424658;4.78224E-11;4.78224E-11;4.78224E-11
Perfluorobuta-1,3-diene;CF2=CFCF=CF2;1.1;days;0.003;3.29E-16;0;3.29E-16;0;0.003013699;3.63894E-11;3.63894E-11;3.63894E-11
Perfluorobut-1-ene;CF3CF2CF=CF2;6;days;0.02;8.38E-15;0;8.38E-15;0;0.016438356;2.54892E-11;2.54892E-11;2.54892E-11
Perfluorobut-2-ene;CF3CF=CFCF3;31;days;0.07;1.62E-13;6;1.62E-13;2;0.084931507;2.72488E-11;2.72488E-11;2.72488E-11
